auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough
0.785470760894107,0.6562693018535969,0.724091216979002,0.6305220883534136,0.7621359223300971,0.686046511627907,0.1959926161492214,0.1623254101408523,0.5831830604562971,0.5,636.0,logistic_regression,cough
0.8067396703544818,0.7186381356332956,0.6526642582975841,0.48484848484848486,0.34951456310679613,0.9558139534883721,0.17112487896482725,0.1181156463184428,0.523497646219748,0.5,636.0,random_forest,cough
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath
0.75505757507338,0.5660525173005319,0.6951230526078122,0.6007604562737643,0.7669902912621359,0.6232558139534884,0.20489283882041812,0.1423852289490259,0.5918341247726219,0.5,636.0,logistic_regression,breath
0.798600135470761,0.67173915225781,0.6739557462181079,0.5353846153846153,0.4223300970873786,0.9255813953488372,0.1691162565786178,0.07050267814457996,0.5171164132022442,0.5,636.0,random_forest,breath
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825245,0.5,1590.0,dummy_most_frequent,speech
0.5074147663129375,0.32724798402485195,0.5074147663129375,0.3330087633885102,0.3320388349514563,0.6827906976744186,0.4308176100628931,0.4308176100628931,5.951965809557342,0.5,1590.0,dummy_stratified,speech
0.7479891623391285,0.6089307637120845,0.6806818694965003,0.5851795263559969,0.7436893203883496,0.6176744186046511,0.2093913105598217,0.16091792134530714,0.6022646011512793,0.5,1590.0,logistic_regression,speech
0.7587645066606458,0.6203900630527404,0.6393678031158274,0.4661458333333333,0.34757281553398056,0.9311627906976744,0.1814602489760296,0.06452240556579977,0.5447478337233657,0.5,1590.0,random_forest,speech
