auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,selected_feature_k,fold,fold_unit,metric_split,threshold_source,skipped,n_selected_features,n_folds,auroc_std,auprc_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,brier_std,ece_std,nll_std,table_source
0.8066566063044938,0.7255519725243563,0.7463070087189805,0.65748031496063,0.6958333333333333,0.7967806841046278,0.1604169588338766,0.0924362592292047,0.5404114910238369,0.3105145935005787,737.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8112429087158329,0.7376621388287492,0.7353084878260634,0.6425992779783394,0.6691729323308271,0.8014440433212996,0.161571235375169,0.0864049581399691,0.5236255836135649,0.3105145935005787,410.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.7973088531187122,0.72919207491421,0.7397090878604963,0.6487695749440716,0.6041666666666666,0.8752515090543259,0.1584293428781698,0.070687521861377,0.4961361704550818,0.5204649322349574,737.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8055970250536088,0.7351311817497379,0.7369778236204229,0.6440677966101694,0.5714285714285714,0.9025270758122744,0.1544510800247078,0.0709772259293402,0.4777374029817643,0.5204649322349574,410.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.802070757880617,0.7269392126435711,0.7524228705566733,0.6666666666666666,0.6416666666666667,0.8631790744466801,0.1589675354406858,0.0674338813004269,0.4952074228407192,0.5063706636428833,737.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.799964713227111,0.716445527919583,0.7080969571944301,0.6031746031746031,0.5714285714285714,0.8447653429602888,0.1619646800728021,0.0563252592232169,0.4919160740838336,0.5063706636428833,410.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8242035546613011,0.7262121435169457,0.7499832327297116,0.6636771300448431,0.6166666666666667,0.8832997987927566,0.1503342110806182,0.0399120561834113,0.4673996415180637,0.480537907867638,737.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8107814663011318,0.7310451247705385,0.7186287017181944,0.6166666666666667,0.556390977443609,0.8808664259927798,0.1553073637191787,0.0434322969308995,0.4773115108548295,0.480537907867638,410.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8237508383635144,0.7384854218346211,0.7516390006706908,0.6666666666666666,0.5958333333333333,0.9074446680080482,0.1563476721684298,0.086995440562611,0.5124593934473455,0.4402911518899335,737.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,2,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
0.8470149253731342,0.7878989344404694,0.758976854856154,0.6775510204081633,0.6194029850746269,0.8985507246376812,0.1386852433757126,0.074674604242798,0.4525870604425414,0.4402911518899335,410.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,2,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,paper_comparable_cv_metrics
